Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Benin,2020-03-16T22:33:03,1,0,0,,
,Cambodia,2020-03-16T22:33:03,7,0,1,,
,Sudan,2020-03-16T22:33:03,1,1,0,,
,Kazakhstan,2020-03-16T22:33:03,10,0,0,,
,Paraguay,2020-03-16T22:33:03,8,0,0,,
,Portugal,2020-03-16T22:33:03,331,0,3,,
,Greece,2020-03-16T22:33:03,331,4,8,,
,Latvia,2020-03-16T22:33:03,34,0,1,,
,Mongolia,2020-03-16T22:33:03,1,0,0,,
,Iran,2020-03-16T22:33:03,14991,853,4590,,
,Morocco,2020-03-16T22:33:03,29,1,1,,
,Panama,2020-03-16T22:33:03,55,1,0,,
,Guadeloupe,2020-03-16T22:33:03,6,0,0,,
,Guyana,2020-03-16T22:33:03,4,1,0,,
,Guatemala,2020-03-16T22:33:03,2,1,0,,
,Iraq,2020-03-16T22:33:03,124,10,26,,
,Chile,2020-03-16T22:33:03,155,0,0,,
,Nepal,2020-03-16T22:33:03,1,0,1,,
,Argentina,2020-03-16T22:33:03,56,2,1,,
,Ukraine,2020-03-16T22:33:03,5,1,0,,
,Seychelles,2020-03-16T22:33:03,3,0,0,,
,Tanzania,2020-03-16T22:33:03,1,0,0,,
,Ghana,2020-03-16T22:33:03,6,0,0,,
,Congo (Brazzaville),2020-03-16T22:33:03,1,0,0,,
,Holy See,2020-03-16T22:33:03,1,0,0,,
,Bahrain,2020-03-16T22:33:03,214,1,77,,
,India,2020-03-16T22:33:03,119,2,13,,
,Canada,2020-03-16T22:33:03,415,4,9,,
,Maldives,2020-03-16T22:33:03,13,0,0,,
,Turkey,2020-03-16T22:33:03,18,0,0,,
,Belgium,2020-03-16T22:33:03,1058,5,1,,
,Namibia,2020-03-16T22:33:03,2,0,0,,
,The Bahamas,2020-03-16T22:33:03,1,0,0,,
,Finland,2020-03-16T22:33:03,277,0,10,,
,North Macedonia,2020-03-16T22:33:03,18,0,1,,
,South Africa,2020-03-16T22:33:03,62,0,0,,
,Trinidad and Tobago,2020-03-16T22:33:03,4,0,0,,
,Georgia,2020-03-16T22:33:03,33,0,1,,
,Central African Republic,2020-03-16T22:33:03,1,0,0,,
,Jamaica,2020-03-16T22:33:03,10,0,2,,
,Peru,2020-03-16T22:33:03,86,0,0,,
,Germany,2020-03-16T22:33:03,7272,17,67,,
,Puerto Rico,2020-03-16T22:33:03,3,0,0,,
,Guinea,2020-03-16T22:33:03,1,0,0,,
,Cruise Ship,2020-03-16T22:33:03,696,7,325,,
,Somalia,2020-03-16T22:33:03,1,0,0,,
,Aruba,2020-03-16T22:33:03,2,0,0,,
,Thailand,2020-03-16T22:33:03,147,1,35,,
,Equatorial Guinea,2020-03-16T22:33:03,1,0,0,,
,Costa Rica,2020-03-16T22:33:03,35,0,0,,
,Sweden,2020-03-16T22:33:03,1103,6,1,,
,Taiwan*,2020-03-16T22:33:03,67,1,20,,
,Vietnam,2020-03-16T22:33:03,61,0,16,,
,Andorra,2020-03-16T22:33:03,2,0,1,,
,Liechtenstein,2020-03-16T22:33:03,4,0,0,,
,Poland,2020-03-16T22:33:03,150,3,13,,
,Kuwait,2020-03-16T22:33:03,123,0,9,,
,Bulgaria,2020-03-16T22:33:03,52,2,0,,
,Jordan,2020-03-16T22:33:03,17,0,1,,
,Nigeria,2020-03-16T22:33:03,2,0,0,,
,Tunisia,2020-03-16T22:33:03,20,0,0,,
,Croatia,2020-03-16T22:33:03,57,0,2,,
,Sri Lanka,2020-03-16T22:33:03,28,0,1,,
,Uruguay,2020-03-16T22:33:03,8,0,0,,
,United Kingdom,2020-03-16T22:33:03,1551,56,21,,
,United Arab Emirates,2020-03-16T22:33:03,98,0,23,,
,Kenya,2020-03-16T22:33:03,3,0,0,,
,Switzerland,2020-03-16T22:33:03,2200,14,4,,
,Spain,2020-03-16T22:33:03,9942,342,530,,
,Lebanon,2020-03-16T22:33:03,99,3,1,,
,Brunei,2020-03-16T22:33:03,54,0,0,,
,Venezuela,2020-03-16T22:33:03,17,0,0,,
,Azerbaijan,2020-03-16T22:33:03,15,1,6,,
,Cuba,2020-03-16T22:33:03,4,0,0,,
,Liberia,2020-03-16T22:33:03,1,0,0,,
,Burkina Faso,2020-03-16T22:33:03,15,0,0,,
,Saint Lucia,2020-03-16T22:33:03,2,0,0,,
,Mauritania,2020-03-16T22:33:03,1,0,0,,
,Guernsey,2020-03-16T22:33:03,1,0,0,,
,Mayotte,2020-03-16T22:33:03,1,0,0,,
,Israel,2020-03-16T22:33:03,255,0,4,,
,San Marino,2020-03-16T22:33:03,109,7,4,,
,Australia,2020-03-16T22:33:03,377,3,23,,
,Estonia,2020-03-16T22:33:03,205,0,1,,
,Korea  South,2020-03-16T22:33:03,8236,75,1137,,
,Cameroon,2020-03-16T22:33:03,4,0,0,,
,Cyprus,2020-03-16T22:33:03,33,0,0,,
,Malaysia,2020-03-16T22:33:03,566,0,42,,
,Iceland,2020-03-16T22:33:03,180,0,0,,
,Oman,2020-03-16T22:33:03,22,0,9,,
,Armenia,2020-03-16T22:33:03,30,0,0,,
,Gabon,2020-03-16T22:33:03,1,0,0,,
,Austria,2020-03-16T22:33:03,1018,3,6,,
,Monaco,2020-03-16T22:33:03,7,0,0,,
,Luxembourg,2020-03-16T22:33:03,77,1,0,,
,Brazil,2020-03-16T22:33:03,200,0,1,,
,Guam,2020-03-16T22:33:03,3,0,0,,
,Algeria,2020-03-16T22:33:03,54,4,12,,
,Slovenia,2020-03-16T22:33:03,253,1,0,,
,Jersey,2020-03-16T22:33:03,2,0,0,,
,US,2020-03-16T22:33:03,4287,74,17,,
,Republic of the Congo,2020-03-16T22:33:03,1,0,0,,
,Antigua and Barbuda,2020-03-16T22:33:03,1,0,0,,
,Colombia,2020-03-16T22:33:03,54,0,0,,
,Ecuador,2020-03-16T22:33:03,37,2,0,,
,Hungary,2020-03-16T22:33:03,39,1,1,,
,Japan,2020-03-16T22:33:03,825,27,144,,
,Moldova,2020-03-16T22:33:03,23,0,0,,
,Belarus,2020-03-16T22:33:03,36,0,3,,
,Albania,2020-03-16T22:33:03,51,1,0,,
,New Zealand,2020-03-16T22:33:03,8,0,0,,
,Eswatini,2020-03-16T22:33:03,1,0,0,,
,Senegal,2020-03-16T22:33:03,24,0,2,,
,Italy,2020-03-16T22:33:03,27980,2158,2749,,
,Honduras,2020-03-16T22:33:03,6,0,0,,
,Ethiopia,2020-03-16T22:33:03,5,0,0,,
,Afghanistan,2020-03-16T22:33:03,21,0,1,,
,Singapore,2020-03-16T22:33:03,243,0,109,,
,French Guiana,2020-03-16T22:33:03,11,0,0,,
,Czechia,2020-03-16T22:33:03,298,0,0,,
,Egypt,2020-03-16T22:33:03,150,2,27,,
,Bolivia,2020-03-16T22:33:03,11,0,0,,
,Russia,2020-03-16T22:33:03,90,0,8,,
,Malta,2020-03-16T22:33:03,30,0,2,,
,Saudi Arabia,2020-03-16T22:33:03,118,0,2,,
,Netherlands,2020-03-16T22:33:03,1414,24,2,,
,Pakistan,2020-03-16T22:33:03,136,0,2,,
,Kosovo,2020-03-16T22:33:03,2,0,0,,
,China,2020-03-16T22:33:03,81032,3217,67910,,
,Qatar,2020-03-16T22:33:03,439,0,4,,
,Ireland,2020-03-16T22:33:03,169,2,0,,
,Martinique,2020-03-16T22:33:03,15,1,0,,
,Slovakia,2020-03-16T22:33:03,63,0,0,,
,France,2020-03-16T22:33:03,6650,148,12,,
,Serbia,2020-03-16T22:33:03,55,0,1,,
,Lithuania,2020-03-16T22:33:03,17,0,1,,
,Bosnia and Herzegovina,2020-03-16T22:33:03,24,0,0,,
,Reunion,2020-03-16T22:33:03,9,0,0,,
,Bhutan,2020-03-16T22:33:03,1,0,0,,
,Romania,2020-03-16T22:33:03,158,0,9,,
,Togo,2020-03-16T22:33:03,1,0,0,,
,Philippines,2020-03-16T22:33:03,142,12,2,,
,Rwanda,2020-03-16T22:33:03,5,0,0,,
,Cote d'Ivoire,2020-03-16T22:33:03,1,0,0,,
,Uzbekistan,2020-03-16T22:33:03,6,0,0,,
,Congo (Kinshasa),2020-03-16T22:33:03,2,0,0,,
,Bangladesh,2020-03-16T22:33:03,8,0,2,,
,Norway,2020-03-16T22:33:03,1312,3,1,,
,Saint Vincent and the Grenadines,2020-03-16T22:33:03,1,0,0,,
,Denmark,2020-03-16T22:33:03,932,3,1,,
,Dominican Republic,2020-03-16T22:33:03,11,0,0,,
,Mexico,2020-03-16T22:33:03,53,0,4,,
,Suriname,2020-03-16T22:33:03,1,0,0,,
,Greenland,2020-03-16T22:33:03,1,0,0,,
,Indonesia,2020-03-16T22:33:03,134,5,8,,